region,annee,quintile,indicateur,valeur,unite
Adamaoua,2005,Q1 (plus pauvre),Revenu moyen mensuel,25000.0,FCFA
Adamaoua,2005,Q1 (plus pauvre),Depenses alimentation,11038.71,FCFA
Adamaoua,2005,Q1 (plus pauvre),Depenses sante,2350.63,FCFA
Adamaoua,2005,Q1 (plus pauvre),Depenses education,1107.51,FCFA
Adamaoua,2005,Q1 (plus pauvre),Depenses logement,4617.47,FCFA
Adamaoua,2005,Q1 (plus pauvre),Depenses transport,3523.08,FCFA
Adamaoua,2005,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2005,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2005,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2005,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2005,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2005,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2005,Q2,Revenu moyen mensuel,50000.0,FCFA
Adamaoua,2005,Q2,Depenses alimentation,26910.12,FCFA
Adamaoua,2005,Q2,Depenses sante,4692.25,FCFA
Adamaoua,2005,Q2,Depenses education,2885.4,FCFA
Adamaoua,2005,Q2,Depenses logement,11027.2,FCFA
Adamaoua,2005,Q2,Depenses transport,5308.6,FCFA
Adamaoua,2005,Q2,Accès eau potable,42.0,%
Adamaoua,2005,Q2,Accès electricite,38.5,%
Adamaoua,2005,Q2,Accès toilettes,24.5,%
Adamaoua,2005,Q2,Possession telephone,35.0,%
Adamaoua,2005,Q2,Possession radio,30.0,%
Adamaoua,2005,Q2,Possession TV,20.0,%
Adamaoua,2005,Q3,Revenu moyen mensuel,90000.0,FCFA
Adamaoua,2005,Q3,Depenses alimentation,34869.56,FCFA
Adamaoua,2005,Q3,Depenses sante,8369.92,FCFA
Adamaoua,2005,Q3,Depenses education,4813.17,FCFA
Adamaoua,2005,Q3,Depenses logement,20906.43,FCFA
Adamaoua,2005,Q3,Depenses transport,12024.59,FCFA
Adamaoua,2005,Q3,Accès eau potable,51.0,%
Adamaoua,2005,Q3,Accès electricite,46.75,%
Adamaoua,2005,Q3,Accès toilettes,29.75,%
Adamaoua,2005,Q3,Possession telephone,49.0,%
Adamaoua,2005,Q3,Possession radio,42.0,%
Adamaoua,2005,Q3,Possession TV,28.0,%
Adamaoua,2005,Q4,Revenu moyen mensuel,150000.0,FCFA
Adamaoua,2005,Q4,Depenses alimentation,80670.09,FCFA
Adamaoua,2005,Q4,Depenses sante,11966.66,FCFA
Adamaoua,2005,Q4,Depenses education,8437.35,FCFA
Adamaoua,2005,Q4,Depenses logement,31857.93,FCFA
Adamaoua,2005,Q4,Depenses transport,18210.5,FCFA
Adamaoua,2005,Q4,Accès eau potable,57.0,%
Adamaoua,2005,Q4,Accès electricite,52.25,%
Adamaoua,2005,Q4,Accès toilettes,33.25,%
Adamaoua,2005,Q4,Possession telephone,63.0,%
Adamaoua,2005,Q4,Possession radio,54.0,%
Adamaoua,2005,Q4,Possession TV,36.0,%
Adamaoua,2005,Q5 (plus riche),Revenu moyen mensuel,300000.0,FCFA
Adamaoua,2005,Q5 (plus riche),Depenses alimentation,116653.93,FCFA
Adamaoua,2005,Q5 (plus riche),Depenses sante,23993.61,FCFA
Adamaoua,2005,Q5 (plus riche),Depenses education,13460.14,FCFA
Adamaoua,2005,Q5 (plus riche),Depenses logement,71462.91,FCFA
Adamaoua,2005,Q5 (plus riche),Depenses transport,37737.52,FCFA
Adamaoua,2005,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2005,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2005,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2005,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2005,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2005,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2006,Q1 (plus pauvre),Revenu moyen mensuel,25500.0,FCFA
Adamaoua,2006,Q1 (plus pauvre),Depenses alimentation,9627.37,FCFA
Adamaoua,2006,Q1 (plus pauvre),Depenses sante,2423.97,FCFA
Adamaoua,2006,Q1 (plus pauvre),Depenses education,1125.68,FCFA
Adamaoua,2006,Q1 (plus pauvre),Depenses logement,5088.75,FCFA
Adamaoua,2006,Q1 (plus pauvre),Depenses transport,2666.63,FCFA
Adamaoua,2006,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2006,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2006,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2006,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2006,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2006,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2006,Q2,Revenu moyen mensuel,51000.0,FCFA
Adamaoua,2006,Q2,Depenses alimentation,27411.51,FCFA
Adamaoua,2006,Q2,Depenses sante,3616.97,FCFA
Adamaoua,2006,Q2,Depenses education,2712.18,FCFA
Adamaoua,2006,Q2,Depenses logement,9682.31,FCFA
Adamaoua,2006,Q2,Depenses transport,5757.28,FCFA
Adamaoua,2006,Q2,Accès eau potable,42.0,%
Adamaoua,2006,Q2,Accès electricite,38.5,%
Adamaoua,2006,Q2,Accès toilettes,24.5,%
Adamaoua,2006,Q2,Possession telephone,35.0,%
Adamaoua,2006,Q2,Possession radio,30.0,%
Adamaoua,2006,Q2,Possession TV,20.0,%
Adamaoua,2006,Q3,Revenu moyen mensuel,91800.0,FCFA
Adamaoua,2006,Q3,Depenses alimentation,42465.83,FCFA
Adamaoua,2006,Q3,Depenses sante,6865.3,FCFA
Adamaoua,2006,Q3,Depenses education,4702.4,FCFA
Adamaoua,2006,Q3,Depenses logement,21474.83,FCFA
Adamaoua,2006,Q3,Depenses transport,11259.38,FCFA
Adamaoua,2006,Q3,Accès eau potable,51.0,%
Adamaoua,2006,Q3,Accès electricite,46.75,%
