region,annee,classe_age,sexe,population,taux_natalite_mille,taux_mortalite_mille,taux_alphabetisation
Adamaoua,2000,0-14,M,316050,0,2,0.0
Adamaoua,2000,0-14,F,328950,0,2,0.0
Adamaoua,2000,15-24,M,147000,35,1,71.5
Adamaoua,2000,15-24,F,153000,35,1,71.0
Adamaoua,2000,25-34,M,102900,25,1,63.1
Adamaoua,2000,25-34,F,107100,25,1,71.9
Adamaoua,2000,35-44,M,73500,0,1,77.2
Adamaoua,2000,35-44,F,76500,0,1,84.2
Adamaoua,2000,45-54,M,44100,0,1,85.0
Adamaoua,2000,45-54,F,45900,0,1,81.3
Adamaoua,2000,55-64,M,29400,0,1,79.4
Adamaoua,2000,55-64,F,30600,0,1,74.8
Adamaoua,2000,65+,M,22050,0,5,76.4
Adamaoua,2000,65+,F,22950,0,5,75.9
Adamaoua,2001,0-14,M,323951,0,2,0.0
Adamaoua,2001,0-14,F,337173,0,2,0.0
Adamaoua,2001,15-24,M,150674,35,1,65.1
Adamaoua,2001,15-24,F,156824,35,1,69.3
Adamaoua,2001,25-34,M,105472,25,1,75.4
Adamaoua,2001,25-34,F,109777,25,1,68.4
Adamaoua,2001,35-44,M,75337,0,1,71.9
Adamaoua,2001,35-44,F,78412,0,1,69.8
Adamaoua,2001,45-54,M,45202,0,1,76.0
Adamaoua,2001,45-54,F,47047,0,1,65.9
Adamaoua,2001,55-64,M,30134,0,1,74.3
Adamaoua,2001,55-64,F,31364,0,1,78.6
Adamaoua,2001,65+,M,22601,0,5,83.7
Adamaoua,2001,65+,F,23523,0,5,64.5
Adamaoua,2002,0-14,M,331852,0,2,0.0
Adamaoua,2002,0-14,F,345397,0,2,0.0
Adamaoua,2002,15-24,M,154350,35,1,79.0
Adamaoua,2002,15-24,F,160650,35,1,84.7
Adamaoua,2002,25-34,M,108045,25,1,76.2
Adamaoua,2002,25-34,F,112455,25,1,60.6
Adamaoua,2002,35-44,M,77175,0,1,70.7
Adamaoua,2002,35-44,F,80325,0,1,77.2
Adamaoua,2002,45-54,M,46305,0,1,70.3
Adamaoua,2002,45-54,F,48195,0,1,72.2
Adamaoua,2002,55-64,M,30870,0,1,67.2
Adamaoua,2002,55-64,F,32130,0,1,68.2
Adamaoua,2002,65+,M,23152,0,5,70.9
Adamaoua,2002,65+,F,24097,0,5,74.2
Adamaoua,2003,0-14,M,339753,0,2,0.0
Adamaoua,2003,0-14,F,353621,0,2,0.0
Adamaoua,2003,15-24,M,158025,35,1,70.9
Adamaoua,2003,15-24,F,164475,35,1,71.4
Adamaoua,2003,25-34,M,110617,25,1,69.5
Adamaoua,2003,25-34,F,115132,25,1,63.0
Adamaoua,2003,35-44,M,79012,0,1,79.0
