region,annee,mois,type_crime,cas_signales,cas_elucides,personnes_arretees
Adamaoua,2015,1,Vol,46,19,18
Adamaoua,2015,1,Agression,34,19,10
Adamaoua,2015,1,Cambriolage,15,8,5
Adamaoua,2015,1,Homicide,2,0,0
Adamaoua,2015,1,Cybercriminalite,3,1,0
Adamaoua,2015,1,Fraude,12,4,2
Adamaoua,2015,2,Vol,63,34,27
Adamaoua,2015,2,Agression,25,13,11
Adamaoua,2015,2,Cambriolage,16,9,6
Adamaoua,2015,2,Homicide,1,0,0
Adamaoua,2015,2,Cybercriminalite,5,1,1
Adamaoua,2015,2,Fraude,7,2,3
Adamaoua,2015,3,Vol,59,24,15
Adamaoua,2015,3,Agression,27,10,5
Adamaoua,2015,3,Cambriolage,19,9,7
Adamaoua,2015,3,Homicide,1,0,0
Adamaoua,2015,3,Cybercriminalite,5,1,1
Adamaoua,2015,3,Fraude,9,2,3
Adamaoua,2015,4,Vol,52,15,15
Adamaoua,2015,4,Agression,22,8,8
Adamaoua,2015,4,Cambriolage,23,13,8
Adamaoua,2015,4,Homicide,2,0,0
Adamaoua,2015,4,Cybercriminalite,5,2,2
Adamaoua,2015,4,Fraude,9,2,3
Adamaoua,2015,5,Vol,42,17,19
Adamaoua,2015,5,Agression,35,13,16
Adamaoua,2015,5,Cambriolage,16,4,6
Adamaoua,2015,5,Homicide,1,0,0
Adamaoua,2015,5,Cybercriminalite,3,1,1
Adamaoua,2015,5,Fraude,7,3,1
Adamaoua,2015,6,Vol,59,28,28
Adamaoua,2015,6,Agression,21,8,6
Adamaoua,2015,6,Cambriolage,21,10,8
Adamaoua,2015,6,Homicide,1,0,0
Adamaoua,2015,6,Cybercriminalite,6,2,1
Adamaoua,2015,6,Fraude,8,3,3
Adamaoua,2015,7,Vol,43,25,19
Adamaoua,2015,7,Agression,34,18,10
Adamaoua,2015,7,Cambriolage,23,7,8
Adamaoua,2015,7,Homicide,1,0,0
Adamaoua,2015,7,Cybercriminalite,4,2,1
Adamaoua,2015,7,Fraude,7,3,2
Adamaoua,2015,8,Vol,61,19,15
Adamaoua,2015,8,Agression,23,11,10
Adamaoua,2015,8,Cambriolage,23,11,8
Adamaoua,2015,8,Homicide,2,1,0
Adamaoua,2015,8,Cybercriminalite,5,2,2
Adamaoua,2015,8,Fraude,11,5,3
Adamaoua,2015,9,Vol,36,18,8
Adamaoua,2015,9,Agression,27,15,7
Adamaoua,2015,9,Cambriolage,21,8,7
Adamaoua,2015,9,Homicide,2,0,0
Adamaoua,2015,9,Cybercriminalite,5,1,2
Adamaoua,2015,9,Fraude,7,3,2
Adamaoua,2015,10,Vol,43,24,11
Adamaoua,2015,10,Agression,31,9,11
Adamaoua,2015,10,Cambriolage,18,6,8
Adamaoua,2015,10,Homicide,1,0,0
Adamaoua,2015,10,Cybercriminalite,4,1,1
Adamaoua,2015,10,Fraude,9,4,1
Adamaoua,2015,11,Vol,64,35,28
Adamaoua,2015,11,Agression,32,14,11
Adamaoua,2015,11,Cambriolage,23,12,9
Adamaoua,2015,11,Homicide,1,0,0
Adamaoua,2015,11,Cybercriminalite,5,2,2
Adamaoua,2015,11,Fraude,10,5,2
Adamaoua,2015,12,Vol,59,30,18
Adamaoua,2015,12,Agression,31,17,6
Adamaoua,2015,12,Cambriolage,15,5,4
Adamaoua,2015,12,Homicide,2,0,0
Adamaoua,2015,12,Cybercriminalite,5,2,1
Adamaoua,2015,12,Fraude,7,3,2
Adamaoua,2016,1,Vol,41,17,19
Adamaoua,2016,1,Agression,38,15,13
Adamaoua,2016,1,Cambriolage,17,6,7
Adamaoua,2016,1,Homicide,2,0,0
Adamaoua,2016,1,Cybercriminalite,5,2,2
Adamaoua,2016,1,Fraude,7,2,1
Adamaoua,2016,2,Vol,57,27,20
Adamaoua,2016,2,Agression,28,16,8
Adamaoua,2016,2,Cambriolage,23,8,7
Adamaoua,2016,2,Homicide,2,0,0
Adamaoua,2016,2,Cybercriminalite,4,1,1
Adamaoua,2016,2,Fraude,10,3,3
Adamaoua,2016,3,Vol,39,20,8
Adamaoua,2016,3,Agression,32,11,15
Adamaoua,2016,3,Cambriolage,18,7,4
Adamaoua,2016,3,Homicide,2,0,0
Adamaoua,2016,3,Cybercriminalite,5,2,1
Adamaoua,2016,3,Fraude,10,3,3
Adamaoua,2016,4,Vol,36,16,7
Adamaoua,2016,4,Agression,33,12,9
Adamaoua,2016,4,Cambriolage,15,8,6
Adamaoua,2016,4,Homicide,2,0,0
Adamaoua,2016,4,Cybercriminalite,5,1,2
Adamaoua,2016,4,Fraude,10,5,4
Adamaoua,2016,5,Vol,43,16,9
Adamaoua,2016,5,Agression,35,19,17
Adamaoua,2016,5,Cambriolage,23,11,8
Adamaoua,2016,5,Homicide,2,1,0
Adamaoua,2016,5,Cybercriminalite,5,2,1
Adamaoua,2016,5,Fraude,10,5,4
Adamaoua,2016,6,Vol,52,25,24
Adamaoua,2016,6,Agression,36,15,7
Adamaoua,2016,6,Cambriolage,23,12,8
Adamaoua,2016,6,Homicide,1,0,0
Adamaoua,2016,6,Cybercriminalite,3,1,0
Adamaoua,2016,6,Fraude,12,3,4
Adamaoua,2016,7,Vol,59,33,19
Adamaoua,2016,7,Agression,38,16,9
Adamaoua,2016,7,Cambriolage,25,10,5
Adamaoua,2016,7,Homicide,1,0,0
Adamaoua,2016,7,Cybercriminalite,3,1,1
Adamaoua,2016,7,Fraude,7,2,2
Adamaoua,2016,8,Vol,40,20,10
Adamaoua,2016,8,Agression,32,18,9
Adamaoua,2016,8,Cambriolage,17,7,4
Adamaoua,2016,8,Homicide,2,1,0
Adamaoua,2016,8,Cybercriminalite,6,2,2
Adamaoua,2016,8,Fraude,10,5,3
Adamaoua,2016,9,Vol,37,13,14
Adamaoua,2016,9,Agression,25,9,10
Adamaoua,2016,9,Cambriolage,16,5,5
Adamaoua,2016,9,Homicide,2,0,0
Adamaoua,2016,9,Cybercriminalite,4,1,1
Adamaoua,2016,9,Fraude,7,3,2
Adamaoua,2016,10,Vol,57,25,27
Adamaoua,2016,10,Agression,31,15,7
Adamaoua,2016,10,Cambriolage,15,5,6
Adamaoua,2016,10,Homicide,1,0,0
Adamaoua,2016,10,Cybercriminalite,3,1,0
Adamaoua,2016,10,Fraude,10,5,4
Adamaoua,2016,11,Vol,36,16,15
Adamaoua,2016,11,Agression,35,14,10
Adamaoua,2016,11,Cambriolage,14,6,5
Adamaoua,2016,11,Homicide,1,0,0
Adamaoua,2016,11,Cybercriminalite,3,1,0
Adamaoua,2016,11,Fraude,12,5,5
Adamaoua,2016,12,Vol,57,34,12
Adamaoua,2016,12,Agression,29,9,6
Adamaoua,2016,12,Cambriolage,25,11,7
Adamaoua,2016,12,Homicide,1,0,0
Adamaoua,2016,12,Cybercriminalite,3,0,0
Adamaoua,2016,12,Fraude,11,4,2
Adamaoua,2017,1,Vol,58,18,22
Adamaoua,2017,1,Agression,24,13,5
Adamaoua,2017,1,Cambriolage,24,8,11
Adamaoua,2017,1,Homicide,1,0,0
Adamaoua,2017,1,Cybercriminalite,5,1,1
Adamaoua,2017,1,Fraude,8,2,3
Adamaoua,2017,2,Vol,57,29,18
Adamaoua,2017,2,Agression,31,11,7
Adamaoua,2017,2,Cambriolage,23,13,7
Adamaoua,2017,2,Homicide,2,1,0
Adamaoua,2017,2,Cybercriminalite,6,3,1
Adamaoua,2017,2,Fraude,11,4,3
Adamaoua,2017,3,Vol,44,22,16
Adamaoua,2017,3,Agression,30,16,10
Adamaoua,2017,3,Cambriolage,14,5,4
Adamaoua,2017,3,Homicide,1,0,0
Adamaoua,2017,3,Cybercriminalite,4,2,1
Adamaoua,2017,3,Fraude,10,3,3
Adamaoua,2017,4,Vol,64,29,28
Adamaoua,2017,4,Agression,24,11,11
Adamaoua,2017,4,Cambriolage,23,7,6
Adamaoua,2017,4,Homicide,2,0,0
Adamaoua,2017,4,Cybercriminalite,6,3,2
Adamaoua,2017,4,Fraude,10,4,4
Adamaoua,2017,5,Vol,56,24,23
Adamaoua,2017,5,Agression,36,15,13
Adamaoua,2017,5,Cambriolage,19,11,6
Adamaoua,2017,5,Homicide,1,0,0
Adamaoua,2017,5,Cybercriminalite,4,2,1
Adamaoua,2017,5,Fraude,8,3,3
Adamaoua,2017,6,Vol,44,25,10
Adamaoua,2017,6,Agression,31,9,6
Adamaoua,2017,6,Cambriolage,20,7,8
Adamaoua,2017,6,Homicide,1,0,0
Adamaoua,2017,6,Cybercriminalite,4,1,1
Adamaoua,2017,6,Fraude,9,4,3
Adamaoua,2017,7,Vol,42,14,10
Adamaoua,2017,7,Agression,34,12,8
Adamaoua,2017,7,Cambriolage,18,10,5
Adamaoua,2017,7,Homicide,1,0,0
Adamaoua,2017,7,Cybercriminalite,4,1,1
Adamaoua,2017,7,Fraude,7,3,3
Adamaoua,2017,8,Vol,40,15,16
Adamaoua,2017,8,Agression,29,10,9
Adamaoua,2017,8,Cambriolage,23,12,6
Adamaoua,2017,8,Homicide,1,0,0
Adamaoua,2017,8,Cybercriminalite,5,2,1
Adamaoua,2017,8,Fraude,10,4,4
Adamaoua,2017,9,Vol,38,18,17
Adamaoua,2017,9,Agression,30,12,8
Adamaoua,2017,9,Cambriolage,15,8,3
Adamaoua,2017,9,Homicide,2,1,0
Adamaoua,2017,9,Cybercriminalite,4,2,1
Adamaoua,2017,9,Fraude,8,4,3
Adamaoua,2017,10,Vol,46,19,9
Adamaoua,2017,10,Agression,37,12,7
Adamaoua,2017,10,Cambriolage,19,8,6
Adamaoua,2017,10,Homicide,2,1,0
Adamaoua,2017,10,Cybercriminalite,4,2,1
Adamaoua,2017,10,Fraude,12,4,5
Adamaoua,2017,11,Vol,50,27,10
Adamaoua,2017,11,Agression,29,13,13
Adamaoua,2017,11,Cambriolage,23,13,5
Adamaoua,2017,11,Homicide,1,0,0
Adamaoua,2017,11,Cybercriminalite,6,2,2
Adamaoua,2017,11,Fraude,11,3,4
Adamaoua,2017,12,Vol,37,12,12
Adamaoua,2017,12,Agression,35,11,12
Adamaoua,2017,12,Cambriolage,17,6,5
Adamaoua,2017,12,Homicide,1,0,0
Adamaoua,2017,12,Cybercriminalite,5,2,2
Adamaoua,2017,12,Fraude,9,3,1
Adamaoua,2018,1,Vol,54,27,26
Adamaoua,2018,1,Agression,35,14,7
Adamaoua,2018,1,Cambriolage,17,7,6
Adamaoua,2018,1,Homicide,1,0,0
Adamaoua,2018,1,Cybercriminalite,4,1,1
Adamaoua,2018,1,Fraude,10,5,2
Adamaoua,2018,2,Vol,58,32,27
Adamaoua,2018,2,Agression,22,9,6
Adamaoua,2018,2,Cambriolage,20,6,7
Adamaoua,2018,2,Homicide,2,1,0
Adamaoua,2018,2,Cybercriminalite,5,2,2
Adamaoua,2018,2,Fraude,10,5,3
Adamaoua,2018,3,Vol,35,20,16
Adamaoua,2018,3,Agression,34,19,9
Adamaoua,2018,3,Cambriolage,17,5,7
Adamaoua,2018,3,Homicide,2,1,0
Adamaoua,2018,3,Cybercriminalite,5,2,1
