date,annee,mois,jour,region,precipitation_mm,temperature_c,humidite_pct
2000-01-01,2000,1,1,Adamaoua,1.93,34.9,76.6
2000-01-02,2000,1,2,Adamaoua,3.57,22.9,62.6
2000-01-03,2000,1,3,Adamaoua,0.75,24.8,66.3
2000-01-04,2000,1,4,Adamaoua,1.48,25.7,72.4
2000-01-05,2000,1,5,Adamaoua,1.53,24.0,83.1
2000-01-06,2000,1,6,Adamaoua,0.63,28.6,54.6
2000-01-07,2000,1,7,Adamaoua,0.67,30.6,66.4
2000-01-08,2000,1,8,Adamaoua,4.14,28.5,66.2
2000-01-09,2000,1,9,Adamaoua,2.08,29.5,65.9
2000-01-10,2000,1,10,Adamaoua,1.33,24.5,63.4
2000-01-11,2000,1,11,Adamaoua,1.11,30.0,74.4
2000-01-12,2000,1,12,Adamaoua,7.52,31.0,87.2
2000-01-13,2000,1,13,Adamaoua,0.82,31.0,72.7
2000-01-14,2000,1,14,Adamaoua,0.2,25.5,68.1
2000-01-15,2000,1,15,Adamaoua,4.56,31.8,72.8
2000-01-16,2000,1,16,Adamaoua,0.18,26.6,65.2
2000-01-17,2000,1,17,Adamaoua,0.43,28.8,57.1
2000-01-18,2000,1,18,Adamaoua,4.2,29.5,79.1
2000-01-19,2000,1,19,Adamaoua,0.47,29.0,61.7
2000-01-20,2000,1,20,Adamaoua,3.97,32.8,88.3
2000-01-21,2000,1,21,Adamaoua,0.14,32.7,48.1
2000-01-22,2000,1,22,Adamaoua,2.5,29.0,76.5
2000-01-23,2000,1,23,Adamaoua,3.33,31.3,53.0
2000-01-24,2000,1,24,Adamaoua,1.21,26.8,53.5
2000-01-25,2000,1,25,Adamaoua,1.69,25.4,61.7
2000-01-26,2000,1,26,Adamaoua,2.68,25.3,65.1
2000-01-27,2000,1,27,Adamaoua,3.89,30.7,73.4
2000-01-28,2000,1,28,Adamaoua,2.22,31.1,65.8
2000-01-29,2000,1,29,Adamaoua,0.9,25.8,75.4
2000-01-30,2000,1,30,Adamaoua,2.72,29.4,82.2
2000-01-31,2000,1,31,Adamaoua,1.74,30.8,67.6
2000-02-01,2000,2,1,Adamaoua,3.23,36.1,76.5
2000-02-02,2000,2,2,Adamaoua,1.22,29.2,66.8
2000-02-03,2000,2,3,Adamaoua,1.29,22.4,65.4
2000-02-04,2000,2,4,Adamaoua,2.31,28.2,65.0
2000-02-05,2000,2,5,Adamaoua,1.36,23.4,66.5
2000-02-06,2000,2,6,Adamaoua,2.7,27.0,64.5
2000-02-07,2000,2,7,Adamaoua,6.24,34.1,70.1
2000-02-08,2000,2,8,Adamaoua,6.49,28.0,73.0
2000-02-09,2000,2,9,Adamaoua,0.01,28.2,64.9
2000-02-10,2000,2,10,Adamaoua,0.63,39.2,85.4
2000-02-11,2000,2,11,Adamaoua,4.03,29.1,90.9
2000-02-12,2000,2,12,Adamaoua,3.45,33.9,63.4
2000-02-13,2000,2,13,Adamaoua,3.6,29.2,70.6
2000-02-14,2000,2,14,Adamaoua,6.13,26.8,66.7
2000-02-15,2000,2,15,Adamaoua,4.43,28.2,69.9
2000-02-16,2000,2,16,Adamaoua,4.78,34.4,66.0
2000-02-17,2000,2,17,Adamaoua,4.43,30.4,61.7
2000-02-18,2000,2,18,Adamaoua,1.4,27.1,71.0
2000-02-19,2000,2,19,Adamaoua,2.79,27.1,65.4
2000-02-20,2000,2,20,Adamaoua,1.43,29.6,67.1
2000-02-21,2000,2,21,Adamaoua,7.73,29.4,56.0
2000-02-22,2000,2,22,Adamaoua,2.67,28.1,60.0
2000-02-23,2000,2,23,Adamaoua,7.61,32.5,55.9
2000-02-24,2000,2,24,Adamaoua,0.46,26.1,79.3
2000-02-25,2000,2,25,Adamaoua,0.83,29.5,74.4
2000-02-26,2000,2,26,Adamaoua,4.72,30.9,77.1
2000-02-27,2000,2,27,Adamaoua,2.71,29.4,70.9
2000-02-28,2000,2,28,Adamaoua,0.96,30.7,62.4
2000-02-29,2000,2,29,Adamaoua,3.39,29.1,74.9
2000-03-01,2000,3,1,Adamaoua,1.33,30.2,67.1
2000-03-02,2000,3,2,Adamaoua,0.92,32.7,77.5
2000-03-03,2000,3,3,Adamaoua,4.73,26.5,67.8
2000-03-04,2000,3,4,Adamaoua,2.89,25.2,67.0
2000-03-05,2000,3,5,Adamaoua,0.42,30.5,84.2
2000-03-06,2000,3,6,Adamaoua,3.69,27.1,47.3
2000-03-07,2000,3,7,Adamaoua,8.7,31.8,64.2
2000-03-08,2000,3,8,Adamaoua,0.06,30.7,79.9
2000-03-09,2000,3,9,Adamaoua,2.13,28.9,71.8
2000-03-10,2000,3,10,Adamaoua,0.72,35.2,56.4
2000-03-11,2000,3,11,Adamaoua,0.51,25.8,62.9
2000-03-12,2000,3,12,Adamaoua,3.41,31.2,57.6
2000-03-13,2000,3,13,Adamaoua,1.99,27.1,80.1
2000-03-14,2000,3,14,Adamaoua,2.59,25.5,62.3
2000-03-15,2000,3,15,Adamaoua,4.3,28.1,80.7
2000-03-16,2000,3,16,Adamaoua,3.21,31.5,64.4
2000-03-17,2000,3,17,Adamaoua,1.09,35.6,59.9
2000-03-18,2000,3,18,Adamaoua,5.45,31.9,88.2
2000-03-19,2000,3,19,Adamaoua,1.53,31.1,76.4
2000-03-20,2000,3,20,Adamaoua,2.79,27.4,65.7
2000-03-21,2000,3,21,Adamaoua,1.92,32.1,78.1
2000-03-22,2000,3,22,Adamaoua,3.41,26.2,65.9
2000-03-23,2000,3,23,Adamaoua,2.05,29.6,82.0
2000-03-24,2000,3,24,Adamaoua,1.35,32.4,82.8
2000-03-25,2000,3,25,Adamaoua,11.39,31.5,70.5
2000-03-26,2000,3,26,Adamaoua,1.13,28.9,79.0
2000-03-27,2000,3,27,Adamaoua,5.45,30.6,76.7
2000-03-28,2000,3,28,Adamaoua,4.29,29.6,74.3
2000-03-29,2000,3,29,Adamaoua,2.36,30.9,76.9
2000-03-30,2000,3,30,Adamaoua,6.8,34.3,77.0
2000-03-31,2000,3,31,Adamaoua,0.04,33.5,63.1
2000-04-01,2000,4,1,Adamaoua,1.63,31.1,68.6
2000-04-02,2000,4,2,Adamaoua,2.53,29.4,56.2
2000-04-03,2000,4,3,Adamaoua,2.3,21.7,77.7
2000-04-04,2000,4,4,Adamaoua,7.76,25.8,83.4
2000-04-05,2000,4,5,Adamaoua,1.96,27.2,85.6
2000-04-06,2000,4,6,Adamaoua,0.64,29.5,56.8
2000-04-07,2000,4,7,Adamaoua,1.98,33.1,67.4
2000-04-08,2000,4,8,Adamaoua,12.16,25.7,60.4
2000-04-09,2000,4,9,Adamaoua,4.62,25.3,67.4
2000-04-10,2000,4,10,Adamaoua,0.63,29.4,76.6
2000-04-11,2000,4,11,Adamaoua,0.27,28.3,60.7
2000-04-12,2000,4,12,Adamaoua,2.52,26.6,81.1
2000-04-13,2000,4,13,Adamaoua,9.93,31.7,75.3
2000-04-14,2000,4,14,Adamaoua,1.23,31.9,47.6
2000-04-15,2000,4,15,Adamaoua,1.89,28.4,75.9
2000-04-16,2000,4,16,Adamaoua,7.0,29.1,70.3
2000-04-17,2000,4,17,Adamaoua,1.33,29.5,56.7
2000-04-18,2000,4,18,Adamaoua,1.51,28.8,59.3
2000-04-19,2000,4,19,Adamaoua,1.14,26.1,66.7
2000-04-20,2000,4,20,Adamaoua,2.96,29.4,65.1
2000-04-21,2000,4,21,Adamaoua,7.08,25.2,49.5
2000-04-22,2000,4,22,Adamaoua,0.22,31.6,71.5
2000-04-23,2000,4,23,Adamaoua,1.08,34.1,52.5
2000-04-24,2000,4,24,Adamaoua,0.31,29.6,76.4
2000-04-25,2000,4,25,Adamaoua,0.38,26.3,55.1
2000-04-26,2000,4,26,Adamaoua,1.33,26.6,83.1
2000-04-27,2000,4,27,Adamaoua,1.23,33.0,63.0
2000-04-28,2000,4,28,Adamaoua,1.16,31.1,67.4
2000-04-29,2000,4,29,Adamaoua,2.04,32.2,62.2
2000-04-30,2000,4,30,Adamaoua,3.29,22.7,60.6
2000-05-01,2000,5,1,Adamaoua,5.64,22.1,65.4
2000-05-02,2000,5,2,Adamaoua,1.2,27.1,54.2
2000-05-03,2000,5,3,Adamaoua,0.35,29.2,62.7
2000-05-04,2000,5,4,Adamaoua,1.66,27.7,61.7
2000-05-05,2000,5,5,Adamaoua,1.65,30.8,62.7
2000-05-06,2000,5,6,Adamaoua,0.59,25.2,68.0
2000-05-07,2000,5,7,Adamaoua,6.16,25.1,73.1
2000-05-08,2000,5,8,Adamaoua,5.1,33.4,63.1
2000-05-09,2000,5,9,Adamaoua,2.83,26.2,82.9
2000-05-10,2000,5,10,Adamaoua,7.65,26.6,71.1
2000-05-11,2000,5,11,Adamaoua,0.19,31.0,74.6
2000-05-12,2000,5,12,Adamaoua,3.26,26.3,62.6
2000-05-13,2000,5,13,Adamaoua,2.28,27.5,57.9
2000-05-14,2000,5,14,Adamaoua,2.71,26.5,55.5
2000-05-15,2000,5,15,Adamaoua,1.22,34.9,65.5
2000-05-16,2000,5,16,Adamaoua,4.18,29.6,79.0
2000-05-17,2000,5,17,Adamaoua,6.93,28.9,75.4
2000-05-18,2000,5,18,Adamaoua,6.8,25.0,62.4
2000-05-19,2000,5,19,Adamaoua,0.21,34.6,65.2
2000-05-20,2000,5,20,Adamaoua,10.32,34.2,71.6
2000-05-21,2000,5,21,Adamaoua,6.2,25.2,71.6
2000-05-22,2000,5,22,Adamaoua,5.17,33.5,74.3
2000-05-23,2000,5,23,Adamaoua,2.94,26.0,60.0
2000-05-24,2000,5,24,Adamaoua,5.01,26.7,71.8
2000-05-25,2000,5,25,Adamaoua,1.34,24.2,73.6
2000-05-26,2000,5,26,Adamaoua,0.11,26.8,47.7
2000-05-27,2000,5,27,Adamaoua,6.44,29.0,79.0
2000-05-28,2000,5,28,Adamaoua,1.75,25.0,77.7
2000-05-29,2000,5,29,Adamaoua,0.92,30.4,59.1
2000-05-30,2000,5,30,Adamaoua,0.66,29.9,60.6
2000-05-31,2000,5,31,Adamaoua,2.89,24.4,85.8
2000-06-01,2000,6,1,Adamaoua,8.95,28.1,67.4
2000-06-02,2000,6,2,Adamaoua,0.38,25.5,66.1
2000-06-03,2000,6,3,Adamaoua,2.42,28.5,69.7
2000-06-04,2000,6,4,Adamaoua,2.33,27.6,72.3
2000-06-05,2000,6,5,Adamaoua,0.84,31.1,65.8
2000-06-06,2000,6,6,Adamaoua,0.52,27.6,79.7
2000-06-07,2000,6,7,Adamaoua,1.64,28.5,78.6
2000-06-08,2000,6,8,Adamaoua,6.86,30.8,75.6
2000-06-09,2000,6,9,Adamaoua,2.8,29.8,82.3
2000-06-10,2000,6,10,Adamaoua,2.84,33.2,64.6
2000-06-11,2000,6,11,Adamaoua,0.71,29.2,92.4
2000-06-12,2000,6,12,Adamaoua,5.01,30.8,86.8
2000-06-13,2000,6,13,Adamaoua,0.82,28.8,77.4
2000-06-14,2000,6,14,Adamaoua,0.46,27.1,76.6
2000-06-15,2000,6,15,Adamaoua,0.4,28.5,69.3
2000-06-16,2000,6,16,Adamaoua,3.06,27.3,75.0
2000-06-17,2000,6,17,Adamaoua,0.19,25.8,97.6
2000-06-18,2000,6,18,Adamaoua,2.79,21.2,79.3
2000-06-19,2000,6,19,Adamaoua,0.01,24.9,69.1
2000-06-20,2000,6,20,Adamaoua,5.59,27.4,68.2
2000-06-21,2000,6,21,Adamaoua,1.82,29.4,72.7
2000-06-22,2000,6,22,Adamaoua,4.92,28.8,67.4
2000-06-23,2000,6,23,Adamaoua,1.94,30.8,86.3
2000-06-24,2000,6,24,Adamaoua,4.47,31.0,73.9
