date,annee,mois,region,produit,prix_fcfa_kg,volume_tonnes,valeur_totale_millions
2000-01-01,2000,1,Adamaoua,Manioc,155.88,3822,595.76
2000-02-01,2000,2,Adamaoua,Manioc,156.19,3142,490.76
2000-03-01,2000,3,Adamaoua,Manioc,158.21,4476,708.13
2000-04-01,2000,4,Adamaoua,Manioc,154.67,3494,540.43
2000-05-01,2000,5,Adamaoua,Manioc,171.95,1735,298.34
2000-06-01,2000,6,Adamaoua,Manioc,145.36,819,119.05
2000-07-01,2000,7,Adamaoua,Manioc,124.33,2483,308.72
2000-08-01,2000,8,Adamaoua,Manioc,112.93,1234,139.36
2000-09-01,2000,9,Adamaoua,Manioc,110.61,4893,541.23
2000-10-01,2000,10,Adamaoua,Manioc,90.26,2954,266.63
2000-11-01,2000,11,Adamaoua,Manioc,131.42,2097,275.59
2000-12-01,2000,12,Adamaoua,Manioc,114.43,2797,320.05
2001-01-01,2001,1,Adamaoua,Manioc,141.51,2784,393.95
2001-02-01,2001,2,Adamaoua,Manioc,127.61,3055,389.84
2001-03-01,2001,3,Adamaoua,Manioc,167.17,1578,263.8
2001-04-01,2001,4,Adamaoua,Manioc,139.21,3252,452.72
2001-05-01,2001,5,Adamaoua,Manioc,158.56,2938,465.85
2001-06-01,2001,6,Adamaoua,Manioc,149.89,2485,372.49
2001-07-01,2001,7,Adamaoua,Manioc,125.72,2091,262.89
2001-08-01,2001,8,Adamaoua,Manioc,122.01,2874,350.66
2001-09-01,2001,9,Adamaoua,Manioc,119.33,2606,310.96
2001-10-01,2001,10,Adamaoua,Manioc,101.81,825,83.99
2001-11-01,2001,11,Adamaoua,Manioc,134.78,3123,420.92
2001-12-01,2001,12,Adamaoua,Manioc,121.48,1071,130.11
2002-01-01,2002,1,Adamaoua,Manioc,199.25,1550,308.83
2002-02-01,2002,2,Adamaoua,Manioc,186.15,4848,902.47
2002-03-01,2002,3,Adamaoua,Manioc,167.1,4347,726.39
2002-04-01,2002,4,Adamaoua,Manioc,186.27,2031,378.32
2002-05-01,2002,5,Adamaoua,Manioc,158.62,3392,538.03
2002-06-01,2002,6,Adamaoua,Manioc,146.35,4601,673.34
2002-07-01,2002,7,Adamaoua,Manioc,137.6,387,53.25
2002-08-01,2002,8,Adamaoua,Manioc,148.33,928,137.65
2002-09-01,2002,9,Adamaoua,Manioc,108.18,4909,531.04
2002-10-01,2002,10,Adamaoua,Manioc,129.59,429,55.59
2002-11-01,2002,11,Adamaoua,Manioc,115.42,3934,454.05
2002-12-01,2002,12,Adamaoua,Manioc,126.9,114,14.47
2003-01-01,2003,1,Adamaoua,Manioc,158.94,2077,330.12
2003-02-01,2003,2,Adamaoua,Manioc,165.57,2745,454.5
2003-03-01,2003,3,Adamaoua,Manioc,192.1,4524,869.08
2003-04-01,2003,4,Adamaoua,Manioc,186.12,3611,672.07
2003-05-01,2003,5,Adamaoua,Manioc,146.24,250,36.56
2003-06-01,2003,6,Adamaoua,Manioc,140.64,4925,692.64
2003-07-01,2003,7,Adamaoua,Manioc,124.35,2504,311.38
2003-08-01,2003,8,Adamaoua,Manioc,117.76,3695,435.13
2003-09-01,2003,9,Adamaoua,Manioc,129.8,2823,366.42
2003-10-01,2003,10,Adamaoua,Manioc,109.21,1620,176.92
2003-11-01,2003,11,Adamaoua,Manioc,117.06,2740,320.74
2003-12-01,2003,12,Adamaoua,Manioc,144.02,3890,560.26
2004-01-01,2004,1,Adamaoua,Manioc,148.1,4543,672.8
2004-02-01,2004,2,Adamaoua,Manioc,187.88,920,172.85
2004-03-01,2004,3,Adamaoua,Manioc,175.52,913,160.25
2004-04-01,2004,4,Adamaoua,Manioc,157.4,2840,447.01
2004-05-01,2004,5,Adamaoua,Manioc,206.37,1807,372.91
2004-06-01,2004,6,Adamaoua,Manioc,133.28,1728,230.3
2004-07-01,2004,7,Adamaoua,Manioc,123.1,1772,218.14
2004-08-01,2004,8,Adamaoua,Manioc,131.91,3364,443.75
2004-09-01,2004,9,Adamaoua,Manioc,124.76,2743,342.21
2004-10-01,2004,10,Adamaoua,Manioc,137.0,4941,676.91
2004-11-01,2004,11,Adamaoua,Manioc,126.57,2031,257.06
2004-12-01,2004,12,Adamaoua,Manioc,156.12,1713,267.44
2005-01-01,2005,1,Adamaoua,Manioc,155.33,1356,210.63
2005-02-01,2005,2,Adamaoua,Manioc,172.34,4079,702.98
2005-03-01,2005,3,Adamaoua,Manioc,166.39,4794,797.67
2005-04-01,2005,4,Adamaoua,Manioc,169.15,4463,754.93
2005-05-01,2005,5,Adamaoua,Manioc,160.45,4829,774.84
2005-06-01,2005,6,Adamaoua,Manioc,147.48,713,105.16
2005-07-01,2005,7,Adamaoua,Manioc,134.48,1545,207.78
2005-08-01,2005,8,Adamaoua,Manioc,130.64,3354,438.18
2005-09-01,2005,9,Adamaoua,Manioc,113.45,4709,534.23
2005-10-01,2005,10,Adamaoua,Manioc,123.73,1341,165.92
2005-11-01,2005,11,Adamaoua,Manioc,136.43,1686,230.03
2005-12-01,2005,12,Adamaoua,Manioc,126.46,3746,473.71
2006-01-01,2006,1,Adamaoua,Manioc,169.68,904,153.39
2006-02-01,2006,2,Adamaoua,Manioc,188.42,3524,664.0
2006-03-01,2006,3,Adamaoua,Manioc,192.6,2827,544.47
2006-04-01,2006,4,Adamaoua,Manioc,218.1,1783,388.88
2006-05-01,2006,5,Adamaoua,Manioc,183.88,252,46.34
2006-06-01,2006,6,Adamaoua,Manioc,137.4,3305,454.11
2006-07-01,2006,7,Adamaoua,Manioc,150.78,2377,358.4
2006-08-01,2006,8,Adamaoua,Manioc,116.69,2981,347.84
2006-09-01,2006,9,Adamaoua,Manioc,123.64,3632,449.05
2006-10-01,2006,10,Adamaoua,Manioc,131.14,658,86.29
2006-11-01,2006,11,Adamaoua,Manioc,140.12,2561,358.84
2006-12-01,2006,12,Adamaoua,Manioc,136.67,1844,252.01
2007-01-01,2007,1,Adamaoua,Manioc,204.27,1419,289.85
2007-02-01,2007,2,Adamaoua,Manioc,202.36,2036,412.0
2007-03-01,2007,3,Adamaoua,Manioc,180.14,1784,321.38
2007-04-01,2007,4,Adamaoua,Manioc,206.51,1893,390.92
2007-05-01,2007,5,Adamaoua,Manioc,171.98,2435,418.78
2007-06-01,2007,6,Adamaoua,Manioc,168.41,2969,500.02
2007-07-01,2007,7,Adamaoua,Manioc,137.22,4111,564.11
2007-08-01,2007,8,Adamaoua,Manioc,119.54,3419,408.7
2007-09-01,2007,9,Adamaoua,Manioc,137.22,673,92.35
2007-10-01,2007,10,Adamaoua,Manioc,115.01,1066,122.6
2007-11-01,2007,11,Adamaoua,Manioc,118.34,3773,446.51
2007-12-01,2007,12,Adamaoua,Manioc,160.51,4598,738.04
2008-01-01,2008,1,Adamaoua,Manioc,182.83,2106,385.04
2008-02-01,2008,2,Adamaoua,Manioc,204.92,3220,659.84
2008-03-01,2008,3,Adamaoua,Manioc,210.27,4549,956.5
2008-04-01,2008,4,Adamaoua,Manioc,199.02,3241,645.04
2008-05-01,2008,5,Adamaoua,Manioc,193.42,3233,625.32
2008-06-01,2008,6,Adamaoua,Manioc,190.98,2607,497.87
2008-07-01,2008,7,Adamaoua,Manioc,131.43,3827,502.99
2008-08-01,2008,8,Adamaoua,Manioc,119.29,2919,348.2
2008-09-01,2008,9,Adamaoua,Manioc,131.55,4117,541.6
2008-10-01,2008,10,Adamaoua,Manioc,133.73,210,28.08
2008-11-01,2008,11,Adamaoua,Manioc,145.73,4961,722.96
2008-12-01,2008,12,Adamaoua,Manioc,155.79,4037,628.92
2009-01-01,2009,1,Adamaoua,Manioc,206.35,1268,261.65
2009-02-01,2009,2,Adamaoua,Manioc,179.77,4546,817.22
2009-03-01,2009,3,Adamaoua,Manioc,206.75,1004,207.57
2009-04-01,2009,4,Adamaoua,Manioc,157.42,4615,726.48
2009-05-01,2009,5,Adamaoua,Manioc,165.73,3486,577.74
2009-06-01,2009,6,Adamaoua,Manioc,151.88,612,92.95
2009-07-01,2009,7,Adamaoua,Manioc,152.96,275,42.06
2009-08-01,2009,8,Adamaoua,Manioc,148.04,4943,731.77
2009-09-01,2009,9,Adamaoua,Manioc,150.35,4598,691.32
2009-10-01,2009,10,Adamaoua,Manioc,152.76,3117,476.14
2009-11-01,2009,11,Adamaoua,Manioc,134.5,4692,631.09
2009-12-01,2009,12,Adamaoua,Manioc,181.54,3170,575.47
2010-01-01,2010,1,Adamaoua,Manioc,152.52,2615,398.85
2010-02-01,2010,2,Adamaoua,Manioc,193.16,1110,214.41
2010-03-01,2010,3,Adamaoua,Manioc,199.99,4326,865.14
2010-04-01,2010,4,Adamaoua,Manioc,212.64,656,139.49
2010-05-01,2010,5,Adamaoua,Manioc,169.91,1234,209.66
2010-06-01,2010,6,Adamaoua,Manioc,143.19,3377,483.54
2010-07-01,2010,7,Adamaoua,Manioc,116.67,619,72.22
2010-08-01,2010,8,Adamaoua,Manioc,135.78,1945,264.1
2010-09-01,2010,9,Adamaoua,Manioc,119.51,204,24.38
2010-10-01,2010,10,Adamaoua,Manioc,158.91,2587,411.1
2010-11-01,2010,11,Adamaoua,Manioc,157.31,4391,690.74
2010-12-01,2010,12,Adamaoua,Manioc,178.21,2856,508.98
2011-01-01,2011,1,Adamaoua,Manioc,159.96,2505,400.71
2011-02-01,2011,2,Adamaoua,Manioc,191.63,574,110.0
2011-03-01,2011,3,Adamaoua,Manioc,182.11,3897,709.68
2011-04-01,2011,4,Adamaoua,Manioc,211.93,4545,963.24
2011-05-01,2011,5,Adamaoua,Manioc,190.63,2824,538.34
2011-06-01,2011,6,Adamaoua,Manioc,165.08,2032,335.44
2011-07-01,2011,7,Adamaoua,Manioc,154.3,624,96.28
2011-08-01,2011,8,Adamaoua,Manioc,134.7,3311,446.0
2011-09-01,2011,9,Adamaoua,Manioc,147.15,1765,259.72
2011-10-01,2011,10,Adamaoua,Manioc,119.36,4827,576.16
2011-11-01,2011,11,Adamaoua,Manioc,147.6,2541,375.06
2011-12-01,2011,12,Adamaoua,Manioc,190.87,2710,517.25
2012-01-01,2012,1,Adamaoua,Manioc,223.17,3101,692.06
2012-02-01,2012,2,Adamaoua,Manioc,208.54,54,11.26
2012-03-01,2012,3,Adamaoua,Manioc,236.09,1041,245.77
2012-04-01,2012,4,Adamaoua,Manioc,202.78,4192,850.07
2012-05-01,2012,5,Adamaoua,Manioc,178.27,4414,786.89
2012-06-01,2012,6,Adamaoua,Manioc,182.91,4515,825.85
2012-07-01,2012,7,Adamaoua,Manioc,125.96,4802,604.87
2012-08-01,2012,8,Adamaoua,Manioc,147.81,169,24.98
2012-09-01,2012,9,Adamaoua,Manioc,134.16,1419,190.37
2012-10-01,2012,10,Adamaoua,Manioc,120.88,790,95.5
2012-11-01,2012,11,Adamaoua,Manioc,186.09,1714,318.95
2012-12-01,2012,12,Adamaoua,Manioc,163.61,1131,185.04
2013-01-01,2013,1,Adamaoua,Manioc,194.49,609,118.44
2013-02-01,2013,2,Adamaoua,Manioc,227.31,3722,846.05
2013-03-01,2013,3,Adamaoua,Manioc,187.59,3393,636.48
2013-04-01,2013,4,Adamaoua,Manioc,229.12,4120,943.97
2013-05-01,2013,5,Adamaoua,Manioc,181.27,2344,424.89
2013-06-01,2013,6,Adamaoua,Manioc,213.28,3197,681.87
2013-07-01,2013,7,Adamaoua,Manioc,141.93,2794,396.56
2013-08-01,2013,8,Adamaoua,Manioc,151.28,3406,515.26
2013-09-01,2013,9,Adamaoua,Manioc,139.7,2315,323.41
2013-10-01,2013,10,Adamaoua,Manioc,175.58,2529,444.04
2013-11-01,2013,11,Adamaoua,Manioc,152.15,1807,274.93
2013-12-01,2013,12,Adamaoua,Manioc,198.49,4502,893.62
2014-01-01,2014,1,Adamaoua,Manioc,233.2,2899,676.05
2014-02-01,2014,2,Adamaoua,Manioc,183.24,3301,604.87
2014-03-01,2014,3,Adamaoua,Manioc,250.22,2539,635.31
2014-04-01,2014,4,Adamaoua,Manioc,183.12,1681,307.82
2014-05-01,2014,5,Adamaoua,Manioc,208.59,4661,972.26
2014-06-01,2014,6,Adamaoua,Manioc,198.83,3137,623.73
2014-07-01,2014,7,Adamaoua,Manioc,167.29,4642,776.56
2014-08-01,2014,8,Adamaoua,Manioc,141.64,945,133.85
2014-09-01,2014,9,Adamaoua,Manioc,162.89,1981,322.69
2014-10-01,2014,10,Adamaoua,Manioc,158.69,3796,602.39
2014-11-01,2014,11,Adamaoua,Manioc,153.94,2788,429.17
2014-12-01,2014,12,Adamaoua,Manioc,220.73,3548,783.15
2015-01-01,2015,1,Adamaoua,Manioc,201.09,3963,796.91
2015-02-01,2015,2,Adamaoua,Manioc,230.59,1116,257.34
2015-03-01,2015,3,Adamaoua,Manioc,229.01,2946,674.66
2015-04-01,2015,4,Adamaoua,Manioc,204.22,4235,864.85
2015-05-01,2015,5,Adamaoua,Manioc,222.26,1675,372.28
2015-06-01,2015,6,Adamaoua,Manioc,177.0,3119,552.07
2015-07-01,2015,7,Adamaoua,Manioc,157.22,3317,521.49
2015-08-01,2015,8,Adamaoua,Manioc,166.51,875,145.7
2015-09-01,2015,9,Adamaoua,Manioc,162.64,462,75.14
2015-10-01,2015,10,Adamaoua,Manioc,175.77,778,136.75
2015-11-01,2015,11,Adamaoua,Manioc,156.54,3515,550.25
2015-12-01,2015,12,Adamaoua,Manioc,201.9,2554,515.65
2016-01-01,2016,1,Adamaoua,Manioc,246.79,1172,289.23
2016-02-01,2016,2,Adamaoua,Manioc,259.17,4129,1070.09
2016-03-01,2016,3,Adamaoua,Manioc,218.46,2193,479.08
2016-04-01,2016,4,Adamaoua,Manioc,209.59,1737,364.06
2016-05-01,2016,5,Adamaoua,Manioc,211.65,3901,825.66
2016-06-01,2016,6,Adamaoua,Manioc,209.24,3490,730.26
2016-07-01,2016,7,Adamaoua,Manioc,189.57,2964,561.87
2016-08-01,2016,8,Adamaoua,Manioc,169.67,4002,679.02
2016-09-01,2016,9,Adamaoua,Manioc,170.94,1415,241.88
2016-10-01,2016,10,Adamaoua,Manioc,156.59,4542,711.24
2016-11-01,2016,11,Adamaoua,Manioc,166.03,445,73.88
2016-12-01,2016,12,Adamaoua,Manioc,205.14,4221,865.9
2017-01-01,2017,1,Adamaoua,Manioc,219.91,2832,622.78
2017-02-01,2017,2,Adamaoua,Manioc,222.88,4996,1113.53
2017-03-01,2017,3,Adamaoua,Manioc,211.15,3190,673.58
2017-04-01,2017,4,Adamaoua,Manioc,225.37,4541,1023.42
2017-05-01,2017,5,Adamaoua,Manioc,237.11,3686,873.99
2017-06-01,2017,6,Adamaoua,Manioc,169.35,3272,554.13
2017-07-01,2017,7,Adamaoua,Manioc,167.21,3032,506.97
2017-08-01,2017,8,Adamaoua,Manioc,163.02,3344,545.14
2017-09-01,2017,9,Adamaoua,Manioc,181.81,4896,890.15
2017-10-01,2017,10,Adamaoua,Manioc,165.49,1003,165.99
2017-11-01,2017,11,Adamaoua,Manioc,158.9,1592,252.97
2017-12-01,2017,12,Adamaoua,Manioc,197.06,1241,244.56
2018-01-01,2018,1,Adamaoua,Manioc,205.18,3286,674.23
2018-02-01,2018,2,Adamaoua,Manioc,234.98,2436,572.42
2018-03-01,2018,3,Adamaoua,Manioc,259.82,1415,367.64
2018-04-01,2018,4,Adamaoua,Manioc,235.11,549,129.07
2018-05-01,2018,5,Adamaoua,Manioc,221.57,1374,304.43
2018-06-01,2018,6,Adamaoua,Manioc,192.09,1205,231.46
2018-07-01,2018,7,Adamaoua,Manioc,199.54,1860,371.15
2018-08-01,2018,8,Adamaoua,Manioc,146.4,2973,435.24
2018-09-01,2018,9,Adamaoua,Manioc,124.7,3652,455.4
2018-10-01,2018,10,Adamaoua,Manioc,187.26,4184,783.48
2018-11-01,2018,11,Adamaoua,Manioc,148.23,4899,726.16
2018-12-01,2018,12,Adamaoua,Manioc,187.49,1293,242.42
2019-01-01,2019,1,Adamaoua,Manioc,253.87,505,128.2
2019-02-01,2019,2,Adamaoua,Manioc,244.63,4974,1216.8
2019-03-01,2019,3,Adamaoua,Manioc,252.2,2046,516.01
2019-04-01,2019,4,Adamaoua,Manioc,250.74,4335,1086.97
2019-05-01,2019,5,Adamaoua,Manioc,207.01,873,180.72
2019-06-01,2019,6,Adamaoua,Manioc,150.16,978,146.85
2019-07-01,2019,7,Adamaoua,Manioc,183.23,1300,238.2
2019-08-01,2019,8,Adamaoua,Manioc,164.84,3562,587.17
2019-09-01,2019,9,Adamaoua,Manioc,195.55,3536,691.47
2019-10-01,2019,10,Adamaoua,Manioc,171.32,3634,622.59
2019-11-01,2019,11,Adamaoua,Manioc,200.73,2753,552.6
2019-12-01,2019,12,Adamaoua,Manioc,235.29,520,122.35
2020-01-01,2020,1,Adamaoua,Manioc,271.53,1195,324.48
2020-02-01,2020,2,Adamaoua,Manioc,218.37,4235,924.8
2020-03-01,2020,3,Adamaoua,Manioc,210.14,589,123.77
2020-04-01,2020,4,Adamaoua,Manioc,224.31,2829,634.57
2020-05-01,2020,5,Adamaoua,Manioc,193.22,2558,494.26
2020-06-01,2020,6,Adamaoua,Manioc,186.88,2829,528.69
2020-07-01,2020,7,Adamaoua,Manioc,170.47,3374,575.17
2020-08-01,2020,8,Adamaoua,Manioc,160.67,4535,728.64
2020-09-01,2020,9,Adamaoua,Manioc,140.61,2921,410.73
2020-10-01,2020,10,Adamaoua,Manioc,198.09,847,167.78
2020-11-01,2020,11,Adamaoua,Manioc,180.91,3186,576.37
2020-12-01,2020,12,Adamaoua,Manioc,196.79,2243,441.39
2021-01-01,2021,1,Adamaoua,Manioc,187.67,3975,745.97
2021-02-01,2021,2,Adamaoua,Manioc,274.23,4834,1325.65
2021-03-01,2021,3,Adamaoua,Manioc,244.22,560,136.76
2021-04-01,2021,4,Adamaoua,Manioc,271.43,434,117.8
2021-05-01,2021,5,Adamaoua,Manioc,234.22,1718,402.39
2021-06-01,2021,6,Adamaoua,Manioc,245.23,1510,370.3
2021-07-01,2021,7,Adamaoua,Manioc,214.86,4859,1044.01
2021-08-01,2021,8,Adamaoua,Manioc,180.45,4228,762.93
2021-09-01,2021,9,Adamaoua,Manioc,159.54,2098,334.72
2021-10-01,2021,10,Adamaoua,Manioc,143.0,4196,600.01
2021-11-01,2021,11,Adamaoua,Manioc,169.13,4594,776.98
2021-12-01,2021,12,Adamaoua,Manioc,192.06,4633,889.82
2022-01-01,2022,1,Adamaoua,Manioc,194.86,1624,316.46
2022-02-01,2022,2,Adamaoua,Manioc,276.86,299,82.78
2022-03-01,2022,3,Adamaoua,Manioc,290.05,4012,1163.68
2022-04-01,2022,4,Adamaoua,Manioc,248.33,4413,1095.89
2022-05-01,2022,5,Adamaoua,Manioc,217.21,3328,722.88
2022-06-01,2022,6,Adamaoua,Manioc,262.38,1302,341.62
2022-07-01,2022,7,Adamaoua,Manioc,216.37,4580,990.96
2022-08-01,2022,8,Adamaoua,Manioc,188.19,2200,414.03
2022-09-01,2022,9,Adamaoua,Manioc,185.12,1408,260.65
2022-10-01,2022,10,Adamaoua,Manioc,142.58,2532,361.01
2022-11-01,2022,11,Adamaoua,Manioc,183.25,4311,790.0
2022-12-01,2022,12,Adamaoua,Manioc,224.26,1408,315.76
2023-01-01,2023,1,Adamaoua,Manioc,271.98,2178,592.37
2023-02-01,2023,2,Adamaoua,Manioc,215.03,2230,479.51
2023-03-01,2023,3,Adamaoua,Manioc,250.18,3522,881.14
2023-04-01,2023,4,Adamaoua,Manioc,284.87,2882,820.99
2023-05-01,2023,5,Adamaoua,Manioc,227.31,2643,600.77
2023-06-01,2023,6,Adamaoua,Manioc,177.23,4350,770.95
2023-07-01,2023,7,Adamaoua,Manioc,198.55,4092,812.47
2023-08-01,2023,8,Adamaoua,Manioc,151.69,1956,296.7
2023-09-01,2023,9,Adamaoua,Manioc,133.11,3495,465.2
2023-10-01,2023,10,Adamaoua,Manioc,211.52,949,200.73
