id,date,categorie,region,ville,latitude,longitude,valeur,statut,source
1,2021-12-19,route_abimee,Adamaoua,Meiganga,6.953212,13.382144,3,valide,web
2,2022-09-08,depot_sauvage,Centre,Mfou,4.202381,12.53688,4,valide,whatsapp
3,2021-03-07,depot_sauvage,Sud,Ebolowa,1.77159,11.416573,3,valide,app
4,2020-08-30,penurie_eau,Sud-Ouest,Kumba,4.478298,8.165743,4,valide,web
5,2023-03-10,prix_marche,Sud-Ouest,Limbe,5.237949,8.999445,1453,traite,whatsapp
6,2023-01-05,route_abimee,Centre,Yaoundé,3.680784,12.59062,1,valide,app
7,2021-02-02,prix_marche,Nord-Ouest,Kumbo,6.222903,10.931559,1103,en_attente,whatsapp
8,2023-09-20,penurie_eau,Sud-Ouest,Limbe,4.721626,8.824356,2,en_attente,app
9,2020-03-05,prix_marche,Ouest,Dschang,4.77648,9.431265,935,valide,whatsapp
10,2020-10-05,penurie_eau,Sud-Ouest,Buea,4.363467,9.302338,3,traite,app
11,2021-10-21,panne_electricite,Sud-Ouest,Buea,3.886119,8.846202,4,valide,ussd
12,2023-09-21,depot_sauvage,Nord-Ouest,Kumbo,5.946854,10.002058,2,valide,web
13,2020-04-29,prix_marche,Extrême-Nord,Kousséri,10.360841,14.33192,1220,valide,whatsapp
14,2020-03-11,route_abimee,Est,Abong-Mbang,5.014908,13.790359,4,traite,app
15,2023-07-23,panne_electricite,Littoral,Edéa,4.552992,10.725812,4,valide,whatsapp
16,2021-06-18,depot_sauvage,Nord-Ouest,Bamenda,5.867663,9.852179,4,valide,app
17,2020-10-04,prix_marche,Ouest,Bafoussam,5.066029,9.374689,687,en_attente,ussd
18,2023-08-20,penurie_eau,Est,Bertoua,3.720513,13.995677,4,valide,app
19,2021-07-02,route_abimee,Extrême-Nord,Maroua,10.749983,15.431934,2,valide,whatsapp
20,2022-11-14,depot_sauvage,Sud-Ouest,Buea,4.466745,8.6239,1,en_attente,ussd
21,2021-11-19,penurie_eau,Centre,Mfou,3.63952,11.791038,2,traite,app
22,2020-07-29,depot_sauvage,Sud,Ebolowa,2.002969,11.169312,1,valide,whatsapp
23,2020-03-14,depot_sauvage,Ouest,Dschang,4.684841,9.724382,2,valide,web
24,2021-03-07,route_abimee,Ouest,Bafoussam,4.701595,9.681071,2,traite,app
25,2024-01-19,prix_marche,Ouest,Dschang,5.101375,10.24085,365,en_attente,app
26,2020-10-07,prix_marche,Centre,Yaoundé,4.119632,10.029087,1189,en_attente,whatsapp
27,2020-03-14,route_abimee,Ouest,Dschang,4.769309,10.21868,3,valide,web
28,2021-10-02,depot_sauvage,Est,Abong-Mbang,3.472905,13.810138,1,en_attente,app
29,2020-11-04,depot_sauvage,Est,Bertoua,4.395399,13.814532,4,valide,whatsapp
30,2022-03-15,depot_sauvage,Sud,Kribi,2.074165,10.125971,1,en_attente,whatsapp
31,2020-01-05,penurie_eau,Ouest,Dschang,6.165054,10.49568,4,valide,ussd
32,2023-10-11,prix_marche,Sud,Kribi,3.048377,10.518597,1956,en_attente,whatsapp
33,2020-12-15,depot_sauvage,Sud-Ouest,Buea,4.551675,8.471092,2,valide,web
34,2020-12-16,panne_electricite,Nord-Ouest,Bamenda,6.238873,9.979972,1,valide,app
35,2024-01-24,penurie_eau,Est,Abong-Mbang,3.563413,13.428637,1,valide,whatsapp
36,2020-06-27,depot_sauvage,Littoral,Edéa,5.017496,9.543818,1,valide,whatsapp
37,2021-07-06,prix_marche,Nord-Ouest,Kumbo,6.610194,9.854408,1242,en_attente,whatsapp
38,2020-09-16,prix_marche,Ouest,Foumban,4.855035,10.596453,1991,en_attente,whatsapp
39,2022-12-20,panne_electricite,Adamaoua,Ngaoundéré,6.877422,11.577522,4,valide,app
40,2023-08-13,panne_electricite,Adamaoua,Ngaoundéré,7.339641,13.841344,1,traite,whatsapp
41,2023-01-06,route_abimee,Extrême-Nord,Kousséri,8.774782,13.876884,3,valide,app
42,2022-02-05,route_abimee,Extrême-Nord,Mora,9.561542,14.079317,3,valide,app
43,2022-03-15,route_abimee,Centre,Yaoundé,3.480003,10.994429,1,valide,whatsapp
44,2021-10-09,penurie_eau,Nord,Garoua,9.315411,12.940811,3,en_attente,app
45,2020-07-06,prix_marche,Extrême-Nord,Mora,9.516105,14.180114,1932,valide,web
46,2021-07-09,depot_sauvage,Sud,Kribi,1.818443,11.187856,2,en_attente,app
47,2022-07-25,prix_marche,Adamaoua,Ngaoundéré,6.705055,13.046699,311,valide,app
48,2023-12-02,penurie_eau,Extrême-Nord,Mora,9.844275,14.709899,1,en_attente,app
49,2023-12-22,prix_marche,Ouest,Dschang,5.788004,9.901269,1385,valide,ussd
50,2022-06-17,route_abimee,Centre,Obala,4.765736,12.050367,4,traite,whatsapp
51,2021-03-31,panne_electricite,Est,Bertoua,4.310208,13.834865,1,valide,whatsapp
52,2023-05-08,route_abimee,Adamaoua,Ngaoundéré,6.855334,13.017777,4,valide,web
53,2020-03-12,panne_electricite,Centre,Mfou,3.617942,11.898848,2,valide,web
54,2021-04-10,route_abimee,Est,Bertoua,4.603202,14.513445,1,valide,whatsapp
55,2022-06-25,route_abimee,Adamaoua,Meiganga,6.476912,12.551986,3,traite,whatsapp
56,2022-11-16,prix_marche,Centre,Mfou,3.253154,11.51173,1789,valide,app
57,2021-07-03,route_abimee,Centre,Obala,4.066397,11.526499,4,valide,ussd
58,2022-11-13,prix_marche,Centre,Yaoundé,4.61489,12.382993,1822,valide,whatsapp
59,2021-10-06,depot_sauvage,Centre,Yaoundé,3.618178,12.077919,2,en_attente,web
60,2022-08-23,prix_marche,Centre,Obala,3.140092,12.459116,233,traite,app
61,2021-07-08,route_abimee,Est,Bertoua,3.896474,14.438344,3,valide,ussd
62,2021-06-27,depot_sauvage,Centre,Yaoundé,4.45443,12.860793,4,valide,web
63,2022-10-19,panne_electricite,Littoral,Edéa,3.523135,8.93628,4,valide,whatsapp
64,2023-10-30,depot_sauvage,Est,Bertoua,4.512802,13.989155,4,en_attente,web
65,2022-01-28,penurie_eau,Nord-Ouest,Bamenda,6.441713,10.030288,4,valide,app
66,2022-12-25,prix_marche,Centre,Yaoundé,4.280486,11.746916,427,valide,app
67,2022-12-11,penurie_eau,Sud-Ouest,Buea,4.676227,9.586714,2,valide,app
68,2023-11-22,route_abimee,Ouest,Foumban,5.161654,9.73614,2,en_attente,whatsapp
69,2023-04-12,penurie_eau,Sud,Ebolowa,2.017782,11.066786,4,valide,app
70,2020-05-10,depot_sauvage,Littoral,Edéa,4.481112,10.008423,1,valide,whatsapp
71,2022-07-20,panne_electricite,Nord,Garoua,9.677519,12.759455,2,valide,app
72,2020-07-17,depot_sauvage,Nord,Guider,7.977046,12.63913,2,valide,whatsapp
73,2023-08-20,prix_marche,Sud,Kribi,2.590669,10.355234,251,valide,ussd
74,2023-10-06,penurie_eau,Nord,Garoua,8.955793,12.63921,3,valide,ussd
75,2021-04-24,route_abimee,Extrême-Nord,Maroua,10.338706,14.635122,3,valide,whatsapp
76,2022-10-13,prix_marche,Littoral,Edéa,4.220588,9.79215,696,valide,web
77,2022-10-01,penurie_eau,Adamaoua,Meiganga,7.475495,12.653859,2,valide,app
78,2021-12-21,penurie_eau,Sud,Kribi,2.22155,11.742526,3,valide,app
79,2022-09-18,penurie_eau,Sud-Ouest,Limbe,4.107469,9.63405,2,valide,whatsapp
80,2020-12-21,panne_electricite,Centre,Obala,3.498882,12.41809,4,traite,app
81,2021-01-02,penurie_eau,Ouest,Foumban,5.277381,9.676518,4,traite,whatsapp
82,2020-09-21,prix_marche,Nord,Guider,9.200092,12.674021,1524,valide,whatsapp
83,2023-06-09,depot_sauvage,Centre,Yaoundé,3.088832,12.712224,2,valide,web
84,2020-01-27,prix_marche,Littoral,Douala,3.729228,10.561498,1100,valide,app
85,2020-01-25,depot_sauvage,Sud,Ebolowa,2.35751,11.056592,2,valide,web
86,2021-02-02,prix_marche,Nord,Garoua,8.867847,14.170091,1094,valide,whatsapp
87,2021-06-29,route_abimee,Ouest,Bafoussam,4.690052,9.438036,1,valide,app
88,2020-03-12,panne_electricite,Est,Abong-Mbang,4.078014,12.642428,4,valide,whatsapp
89,2021-11-28,route_abimee,Sud-Ouest,Limbe,4.212334,9.705762,2,valide,whatsapp
90,2020-08-26,penurie_eau,Nord-Ouest,Kumbo,6.406477,10.281085,2,valide,web
91,2020-02-24,prix_marche,Ouest,Bafoussam,4.562557,10.074559,1287,traite,web
92,2022-07-10,penurie_eau,Est,Bertoua,4.64874,14.07999,2,valide,whatsapp
93,2020-11-06,penurie_eau,Nord,Garoua,9.28656,12.810695,1,valide,whatsapp
94,2023-01-22,prix_marche,Littoral,Nkongsamba,3.609177,9.988013,429,valide,whatsapp
95,2021-04-15,penurie_eau,Sud-Ouest,Kumba,4.96059,9.179535,4,valide,web
