annee,mois,route,type_transport,distance_km,cout_fcfa,temps_heures,accidents,embouteillages,volume_marchandises_tonnes,passagers
2015,1,N1 Douala-Yaounde,Camion,280,42000,7.0,0,1,27,44
2015,1,N1 Douala-Yaounde,Taxi,479,143700,8.0,0,2,0,188
2015,1,N1 Douala-Yaounde,Bus,439,35120,8.8,0,4,0,227
2015,1,N1 Douala-Yaounde,Moto,332,33200,7.4,0,1,0,421
2015,1,N1 Douala-Yaounde,Train,191,11460,2.7,0,6,81,25
2015,1,N1 Douala-Yaounde,Avion,195,156000,0.4,0,0,0,22
2015,1,N2 Yaounde-Bamenda,Camion,466,69900,11.7,0,1,54,15
2015,1,N2 Yaounde-Bamenda,Taxi,305,91500,5.1,0,2,0,310
2015,1,N2 Yaounde-Bamenda,Bus,258,20640,5.2,0,2,0,183
2015,1,N2 Yaounde-Bamenda,Moto,349,34900,7.8,0,3,0,397
2015,1,N2 Yaounde-Bamenda,Train,126,7560,1.8,0,2,43,0
2015,1,N2 Yaounde-Bamenda,Avion,366,292800,0.7,0,0,0,32
2015,1,N3 Yaounde-Abong,Camion,291,43650,7.3,0,2,21,7
2015,1,N3 Yaounde-Abong,Taxi,481,144300,8.0,1,5,0,116
2015,1,N3 Yaounde-Abong,Bus,375,30000,7.5,0,1,0,203
2015,1,N3 Yaounde-Abong,Moto,299,29900,6.6,0,1,0,481
2015,1,N3 Yaounde-Abong,Train,106,6360,1.5,0,4,66,30
2015,1,N3 Yaounde-Abong,Avion,238,190400,0.5,0,0,0,44
2015,1,N4 Maroua-Kousseri,Camion,191,28650,4.8,0,2,29,44
2015,1,N4 Maroua-Kousseri,Taxi,225,67500,3.8,0,1,0,264
2015,1,N4 Maroua-Kousseri,Bus,324,25920,6.5,0,3,0,254
2015,1,N4 Maroua-Kousseri,Moto,213,21300,4.7,0,2,0,315
2015,1,N4 Maroua-Kousseri,Train,474,28440,6.8,0,5,50,40
2015,1,N4 Maroua-Kousseri,Avion,474,379200,0.9,0,0,0,35
2015,1,N5 Bafoussam-Douala,Camion,281,42150,7.0,0,2,46,7
2015,1,N5 Bafoussam-Douala,Taxi,366,109800,6.1,0,0,0,477
2015,1,N5 Bafoussam-Douala,Bus,365,29200,7.3,0,2,0,305
2015,1,N5 Bafoussam-Douala,Moto,443,44300,9.8,0,2,0,153
2015,1,N5 Bafoussam-Douala,Train,321,19260,4.6,1,2,28,0
2015,1,N5 Bafoussam-Douala,Avion,154,123200,0.3,0,0,0,1
2015,1,N6 Limbe-Kumba,Camion,476,71400,11.9,0,1,45,33
2015,1,N6 Limbe-Kumba,Taxi,251,75300,4.2,0,3,0,267
2015,1,N6 Limbe-Kumba,Bus,469,37520,9.4,0,1,0,52
2015,1,N6 Limbe-Kumba,Moto,436,43600,9.7,0,5,0,305
2015,1,N6 Limbe-Kumba,Train,361,21660,5.2,0,1,48,36
2015,1,N6 Limbe-Kumba,Avion,452,361600,0.9,0,0,0,6
2015,2,N1 Douala-Yaounde,Camion,399,59850,10.0,0,3,36,7
2015,2,N1 Douala-Yaounde,Taxi,414,124200,6.9,0,1,0,21
2015,2,N1 Douala-Yaounde,Bus,109,8720,2.2,0,4,0,316
2015,2,N1 Douala-Yaounde,Moto,232,23200,5.2,0,5,0,149
2015,2,N1 Douala-Yaounde,Train,398,23880,5.7,0,0,86,2
2015,2,N1 Douala-Yaounde,Avion,311,248800,0.6,0,0,0,11
2015,2,N2 Yaounde-Bamenda,Camion,340,51000,8.5,0,3,96,31
2015,2,N2 Yaounde-Bamenda,Taxi,252,75600,4.2,0,1,0,147
2015,2,N2 Yaounde-Bamenda,Bus,498,39840,10.0,0,2,0,459
2015,2,N2 Yaounde-Bamenda,Moto,486,48600,10.8,1,3,0,221
2015,2,N2 Yaounde-Bamenda,Train,419,25140,6.0,0,2,29,43
2015,2,N2 Yaounde-Bamenda,Avion,379,303200,0.8,0,0,0,8
2015,2,N3 Yaounde-Abong,Camion,417,62550,10.4,0,2,61,41
2015,2,N3 Yaounde-Abong,Taxi,180,54000,3.0,0,2,0,348
2015,2,N3 Yaounde-Abong,Bus,355,28400,7.1,0,1,0,214
2015,2,N3 Yaounde-Abong,Moto,296,29600,6.6,0,3,0,403
2015,2,N3 Yaounde-Abong,Train,302,18120,4.3,1,5,61,44
2015,2,N3 Yaounde-Abong,Avion,206,164800,0.4,0,0,0,1
2015,2,N4 Maroua-Kousseri,Camion,409,61350,10.2,0,1,75,47
2015,2,N4 Maroua-Kousseri,Taxi,233,69900,3.9,0,4,0,67
2015,2,N4 Maroua-Kousseri,Bus,191,15280,3.8,0,3,0,489
2015,2,N4 Maroua-Kousseri,Moto,192,19200,4.3,0,2,0,24
2015,2,N4 Maroua-Kousseri,Train,164,9840,2.3,2,1,78,35
2015,2,N4 Maroua-Kousseri,Avion,272,217600,0.5,0,0,0,1
2015,2,N5 Bafoussam-Douala,Camion,148,22200,3.7,0,2,43,32
2015,2,N5 Bafoussam-Douala,Taxi,299,89700,5.0,0,2,0,447
2015,2,N5 Bafoussam-Douala,Bus,211,16880,4.2,0,4,0,34
2015,2,N5 Bafoussam-Douala,Moto,271,27100,6.0,0,0,0,284
2015,2,N5 Bafoussam-Douala,Train,415,24900,5.9,0,3,95,47
2015,2,N5 Bafoussam-Douala,Avion,132,105600,0.3,0,0,0,49
2015,2,N6 Limbe-Kumba,Camion,287,43050,7.2,0,1,4,2
2015,2,N6 Limbe-Kumba,Taxi,492,147600,8.2,0,3,0,273
2015,2,N6 Limbe-Kumba,Bus,448,35840,9.0,0,2,0,130
2015,2,N6 Limbe-Kumba,Moto,308,30800,6.8,0,1,0,498
2015,2,N6 Limbe-Kumba,Train,324,19440,4.6,0,0,82,1
2015,2,N6 Limbe-Kumba,Avion,269,215200,0.5,1,0,0,44
2015,3,N1 Douala-Yaounde,Camion,122,18300,3.0,1,2,93,3
2015,3,N1 Douala-Yaounde,Taxi,280,84000,4.7,0,2,0,225
2015,3,N1 Douala-Yaounde,Bus,172,13760,3.4,0,2,0,279
2015,3,N1 Douala-Yaounde,Moto,389,38900,8.6,0,2,0,104
2015,3,N1 Douala-Yaounde,Train,236,14160,3.4,0,2,57,14
2015,3,N1 Douala-Yaounde,Avion,451,360800,0.9,0,0,0,14
2015,3,N2 Yaounde-Bamenda,Camion,284,42600,7.1,0,0,22,8
2015,3,N2 Yaounde-Bamenda,Taxi,215,64500,3.6,1,3,0,363
2015,3,N2 Yaounde-Bamenda,Bus,368,29440,7.4,0,1,0,0
2015,3,N2 Yaounde-Bamenda,Moto,416,41600,9.2,0,1,0,249
2015,3,N2 Yaounde-Bamenda,Train,397,23820,5.7,0,0,67,8
2015,3,N2 Yaounde-Bamenda,Avion,472,377600,0.9,0,0,0,30
2015,3,N3 Yaounde-Abong,Camion,250,37500,6.2,0,2,54,7
2015,3,N3 Yaounde-Abong,Taxi,423,126900,7.0,0,5,0,69
2015,3,N3 Yaounde-Abong,Bus,267,21360,5.3,0,2,0,399
2015,3,N3 Yaounde-Abong,Moto,406,40600,9.0,0,2,0,168
2015,3,N3 Yaounde-Abong,Train,390,23400,5.6,0,4,43,12
2015,3,N3 Yaounde-Abong,Avion,400,320000,0.8,0,0,0,1
2015,3,N4 Maroua-Kousseri,Camion,451,67650,11.3,0,0,53,42
2015,3,N4 Maroua-Kousseri,Taxi,490,147000,8.2,0,2,0,236
2015,3,N4 Maroua-Kousseri,Bus,137,10960,2.7,0,4,0,233
2015,3,N4 Maroua-Kousseri,Moto,304,30400,6.8,0,2,0,169
2015,3,N4 Maroua-Kousseri,Train,188,11280,2.7,0,4,47,12
